year,countryname,countrycode,china_im_fr_i,china_ex_to_i,diplomcy,dist,va,psv,ge,rq,rl,cc,gdp,population_total,gdp_per_capita,trade,arms,military,financial,travel,ASEAN.1,RCEP,AIIB,NDB,SCO,BFTA,FTA,ORG,partnership,partnership2,dip_age,WGI,exportdep,importdep,economy,arms_and_military,xi,dist_std,dip_age_std,population_total_std,gdp_std,china_ex_to_i_std,china_im_fr_i_std,exportdep_std,importdep_std,trade_std,arms_std,military_std,financial_std,travel_std,va_std,psv_std,ge_std,rq_std,rl_std,cc_std,WGI_std,econ_PC1,econ_PC2,econ_PC3,econ_PC4,econ_PC5,sanct_PC1,sanct_PC2,sanct_PC3,sanct_PC4,sanct_PC5,gov_PC1,gov_PC2,gov_PC3,gov_PC4,gov_PC5,partnership_lag,partnership_change,is_increase
2010,Angola,AGO,22809913569,2003705420,1983,11769.51,-1.12,-0.23,-1.14,-1.06,-1.27,-1.33,83799474070,23294825,3597.342932,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,27,-1.025,0.272196381,0.023910716,0,0,0,0.692234333,-0.486316184,-0.078806651,-0.248588183,-0.249844302,0.881839334,4.788468667,-0.181377124,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-1.089834341,-0.155041175,-1.137606287,-1.096034995,-1.212358989,-1.264573425,-1.074834453,0.845953116,3.310823897,-2.244372663,2.59354856,0.504320631,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-2.470845692,0.77670607,0.134778379,0.216424901,-0.018983812,0,2,TRUE
2012,United Arab Emirates,ARE,10818247318,29575173816,1984,5966.427,-1,0.86,1.16,0.67,0.53,1.16,3.8461E+11,7391448,52034.47625,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,28,0.563333333,0.028127828,0.076896503,0,0,0,-0.821946109,-0.426925881,-0.233713893,0.234249683,1.377810719,0.262284312,0.075540653,0.279118181,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-0.966071772,0.985067109,1.210800295,0.703244903,0.612668882,1.208411517,0.678555045,1.012211562,0.349601539,0.075194373,-0.462890542,-0.241463504,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,1.570245423,0.728320502,-1.604964196,-0.053163938,0.004815541,0,2,TRUE
2018,United Arab Emirates,ARE,16237766589,29651248093,1984,5966.427,-1.12,0.69,1.43,0.92,0.77,1.12,4.27049E+11,9346701,45689.857,0,0,0,0,0,0,0,1,0,0,0,0,1,3,3,34,0.635,0.038023155,0.069432824,0,0,1,-0.821946109,-0.070584065,-0.214668702,0.302369958,1.382301691,0.542286299,0.266617967,0.214251932,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-1.089834341,0.807252056,1.486482807,0.963256449,0.856005932,1.168684851,0.757669157,1.23459372,0.460835964,-0.091587531,-0.395393521,-0.286046482,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,1.771054924,0.493154551,-1.901254256,0.149821213,-0.095030138,2,1,TRUE
2004,Argentina,ARG,3255540214,852000339,1972,19297.47,0.36,-0.61,0.02,-0.7,-0.77,-0.41,1.64658E+11,38815916,4242.020991,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,32,-0.351666667,0.019771536,0.005174366,0,0,0,2.656481579,-0.189364671,0.072376925,-0.118800477,-0.3178341,-0.128446472,-0.085818113,-0.344213268,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.436570676,-0.552510118,0.046807467,-0.721618369,-0.705406802,-0.350860113,-0.331529776,-0.313558413,-0.294853067,-0.191122602,0.153464306,-0.000410013,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-0.768828438,-0.398458169,0.583596646,-0.27145185,-0.54793198,0,2,TRUE
2014,Argentina,ARG,5258068422,7686731784,1972,19297.47,0.35,-0.01,-0.11,-1.07,-0.87,-0.55,5.2632E+11,43024071,12233.14441,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,42,-0.376666667,0.009990256,0.014604683,0,0,1,2.656481579,0.404538356,0.113366564,0.46171083,0.085647674,-0.02498492,-0.274693194,-0.262255126,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,0.426257129,0.075072424,-0.085928557,-1.106435457,-0.80679724,-0.489903443,-0.359127722,0.268582998,-0.47433021,-0.030128021,-0.110892208,0.26059197,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-0.86155684,0.300973016,0.834464405,-0.37828586,-0.679305702,2,1,TRUE
2014,Australia,AUS,90132215710,39121979059,1972,8956.436,1.36,1.03,1.6,1.86,1.92,1.85,1.46827E+12,23475686,62544.08738,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,42,1.603333333,0.061386871,0.026645033,0,0,1,-0.041772337,0.404538356,-0.077044969,1.973648793,1.941397151,4.360077427,0.717767904,-0.157613388,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.467925418,1.162882163,1.660060685,1.940899862,2.021995961,1.8936965,1.826629596,4.623413167,0.747380606,-1.134946572,-1.070122987,-0.859692676,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,4.175161991,-0.349614184,-0.24763963,-0.029479574,0.229304485,0,3,TRUE
2018,Austria,AUT,6923283734,2827536774,1971,7468.012,1.4,0.88,1.46,1.52,1.85,1.57,4.52582E+11,8840521,51194.07498,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,47,1.446666667,0.015297292,0.006247564,0,0,1,-0.430142193,0.701489869,-0.219599161,0.343353324,-0.201210213,0.061049205,-0.172215102,-0.334886187,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.509179607,1.005986527,1.517114197,1.58728416,1.951022655,1.61560984,1.653682468,0.012834187,-0.298698529,-0.298753485,-0.247206184,0.2692083,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,3.777158763,-0.373905264,-0.053111968,-0.116602596,0.045184799,0,2,TRUE
2014,Belgium,BEL,10055588526,17222472654,1971,7970.82,1.37,0.7,1.52,1.15,1.55,1.51,5.37987E+11,11209057,47995.7787,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,1.3,0.018691122,0.03201278,0,0,1,-0.298946062,0.463928659,-0.196528377,0.480438988,0.648580931,0.222881191,-0.10668075,-0.110962727,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,1.478238965,0.817711765,1.578376977,1.202467072,1.646851343,1.556019842,1.491774519,0.680954248,-0.100915785,-0.145843115,-0.403890998,0.097958824,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,3.404835271,-0.427473061,-0.00961212,-0.313258984,-0.198369684,0,1,TRUE
2023,Benin,BEN,98443912,1676234323,1972,11545.88,-0.22,-0.35,-0.22,-0.3,-0.51,-0.05,19676049076,14111034,1394.373302,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,51,-0.275,0.005003236,0.085191611,0,0,1,0.633883251,0.93905108,-0.168261597,-0.351514119,-0.269176242,-0.291559323,-0.37099183,0.35121031,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-0.161615074,-0.280557683,-0.198243654,-0.305599895,-0.441791665,0.006679878,-0.246896075,-0.591435061,0.036558684,0.386946202,-0.243378607,-0.101744268,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-0.564692519,-0.078192853,-0.001553506,-0.195897802,0.039447848,0,1,TRUE
2005,Bangladesh,BGD,78525332,2403518475,1975,3036.238,-0.57,-1.86,-0.92,-1.08,-0.98,-1.41,69476001239,144715786,480.0858508,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,30,-1.136666667,0.001130251,0.034594945,0,0,0,-1.586511233,-0.308145276,1.103897262,-0.271579108,-0.226241724,-0.292588426,-0.445778595,-0.088521326,-0.294045397,-0.219225392,-0.231110698,-0.335818116,-0.248424495,-0.522589233,-1.859973746,-0.912976092,-1.116835919,-0.918326721,-1.344026757,-1.198105278,-0.204268908,-0.761729803,0.634089087,0.725519591,-0.279337758,-0.598625079,-0.048100503,-0.028890218,0.031648935,-0.000812425,-2.700033141,-0.976335822,0.229873466,-0.002228624,-0.334174847,0,1,TRUE
