"country","cluster_1996","cluster_2013","cluster_2023","stable"
"AGO",1,3,3,FALSE
"ALB",2,3,3,FALSE
"AND",3,2,3,FALSE
"ARE",3,2,3,FALSE
"ARG",2,3,3,FALSE
"ARM",2,3,3,FALSE
"ATG",3,2,3,FALSE
"AUS",3,1,1,FALSE
"AUT",3,2,3,FALSE
"AZE",1,3,3,FALSE
"BDI",2,3,3,FALSE
"BEL",3,2,3,FALSE
"BEN",2,3,3,FALSE
"BFA",2,3,3,FALSE
"BGD",2,3,3,FALSE
"BGR",2,3,3,FALSE
"BHR",2,3,3,FALSE
"BHS",3,2,3,FALSE
"BIH",2,3,2,FALSE
"BLR",2,3,2,FALSE
"BLZ",3,3,2,FALSE
"BOL",2,3,3,FALSE
"BRA",2,1,1,FALSE
"BRB",3,2,3,FALSE
"BRN",3,2,3,FALSE
"BWA",3,2,3,FALSE
"CAF",2,3,2,FALSE
"CAN",3,2,1,FALSE
"CHE",3,2,3,FALSE
"CHL",3,2,3,FALSE
"CIV",2,3,3,FALSE
"CMR",2,3,3,FALSE
"COD",1,3,2,FALSE
"COG",2,3,3,FALSE
"COL",2,3,3,FALSE
"COM",2,3,3,FALSE
"CRI",3,2,3,FALSE
"CYP",3,2,3,FALSE
"CZE",3,2,3,FALSE
"DEU",3,1,1,FALSE
"DJI",2,3,3,FALSE
"DMA",3,2,3,FALSE
"DNK",3,2,3,FALSE
"DOM",2,3,3,FALSE
"DZA",1,3,3,FALSE
"ECU",1,3,3,FALSE
"EGY",2,3,3,FALSE
"ESP",3,2,3,FALSE
"EST",3,2,3,FALSE
"ETH",2,3,3,FALSE
"FIN",3,2,3,FALSE
"FJI",3,3,3,TRUE
"FRA",3,1,1,FALSE
"GAB",2,3,3,FALSE
"GBR",3,1,1,FALSE
"GEO",2,2,3,FALSE
"GHA",2,3,3,FALSE
"GIN",2,3,2,FALSE
"GMB",1,3,3,FALSE
"GNB",2,3,3,FALSE
"GNQ",2,3,3,FALSE
"GRC",3,2,3,FALSE
"GRD",3,2,3,FALSE
"GTM",1,3,2,FALSE
"GUY",2,3,3,FALSE
"HND",2,3,3,FALSE
"HRV",2,2,3,FALSE
"HTI",1,3,2,FALSE
"HUN",3,2,3,FALSE
"IDN",1,3,1,FALSE
"IND",1,1,1,TRUE
"IRL",3,2,3,FALSE
"IRN",1,3,2,FALSE
"IRQ",2,3,2,FALSE
"ISL",3,2,3,FALSE
"ISR",3,2,3,FALSE
"ITA",3,2,1,FALSE
"JAM",2,3,3,FALSE
"JOR",2,3,3,FALSE
"JPN",3,1,1,FALSE
"KAZ",2,3,3,FALSE
"KEN",2,3,3,FALSE
"KGZ",2,3,2,FALSE
"KHM",2,3,2,FALSE
"KOR",3,1,1,FALSE
"KWT",3,3,3,TRUE
"LAO",2,3,2,FALSE
"LBR",2,3,2,FALSE
"LBY",1,3,2,FALSE
"LKA",2,3,3,FALSE
"LSO",2,3,3,FALSE
"LTU",3,2,3,FALSE
"LUX",3,2,3,FALSE
"LVA",3,2,3,FALSE
"MAR",2,3,3,FALSE
"MDA",2,3,3,FALSE
"MDG",2,3,3,FALSE
"MDV",3,3,3,TRUE
"MEX",2,3,1,FALSE
"MKD",2,3,3,FALSE
"MLI",2,3,2,FALSE
"MLT",3,2,3,FALSE
"MMR",1,3,2,FALSE
"MNG",2,3,3,FALSE
"MOZ",2,3,2,FALSE
"MRT",2,3,3,FALSE
"MUS",3,2,3,FALSE
"MWI",2,3,3,FALSE
"MYS",3,2,1,FALSE
"NAM",3,2,3,FALSE
"NER",1,3,3,FALSE
"NGA",1,3,2,FALSE
"NIC",2,3,2,FALSE
"NLD",3,2,1,FALSE
"NOR",3,2,3,FALSE
"NPL",2,3,3,FALSE
"NZL",3,2,3,FALSE
"OMN",3,2,3,FALSE
"PAK",1,3,3,FALSE
"PAN",2,3,3,FALSE
"PER",1,3,3,FALSE
"PHL",2,3,3,FALSE
"PNG",2,3,3,FALSE
"POL",3,2,3,FALSE
"PRT",3,2,3,FALSE
"PRY",2,3,3,FALSE
"QAT",2,2,3,FALSE
"ROM",2,2,3,FALSE
"RUS",2,1,2,FALSE
"RWA",2,3,3,FALSE
"SAU",2,3,2,FALSE
"SDN",1,3,2,FALSE
"SEN",2,3,3,FALSE
"SGP",3,2,1,FALSE
"SLE",2,3,3,FALSE
"SLV",2,3,2,FALSE
"SOM",2,3,2,FALSE
"STP",2,3,3,FALSE
"SUR",2,3,3,FALSE
"SVK",3,2,3,FALSE
"SVN",3,2,3,FALSE
"SWE",3,2,3,FALSE
"SWZ",2,3,3,FALSE
"SYC",3,2,3,FALSE
"TCD",2,3,3,FALSE
"TGO",1,3,3,FALSE
"THA",2,3,1,FALSE
"TJK",2,3,3,FALSE
"TKM",2,3,3,FALSE
"TTO",3,2,3,FALSE
"TUN",2,3,3,FALSE
"TUR",2,3,3,FALSE
"TZA",2,3,2,FALSE
"UGA",2,3,2,FALSE
"UKR",2,3,2,FALSE
"URY",3,2,3,FALSE
"UZB",2,3,3,FALSE
"VNM",2,3,1,FALSE
"WSM",3,2,3,FALSE
"ZAF",3,2,3,FALSE
"ZMB",2,3,3,FALSE
"ZWE",2,3,3,FALSE
